Strain,Method,Glycolysis(Serine through glycolysis)_true,Glycolysis(Serine through glycolysis)_pred,Glycolysis(Serine through glycolysis)_abs_error,Glycolysis(Serine through glycolysis)_ratio,Glycolysis(Serine through glycolysis)_rel_error,ED pathway(PYR through ED) _true,ED pathway(PYR through ED) _pred,ED pathway(PYR through ED) _abs_error,ED pathway(PYR through ED) _ratio,ED pathway(PYR through ED) _rel_error,"PP pathway(PEP through PP pathway, upper bound)  _true","PP pathway(PEP through PP pathway, upper bound)  _pred","PP pathway(PEP through PP pathway, upper bound)  _abs_error","PP pathway(PEP through PP pathway, upper bound)  _ratio","PP pathway(PEP through PP pathway, upper bound)  _rel_error",Gluco-neogenesis(PEP from oxaloacetate)_true,Gluco-neogenesis(PEP from oxaloacetate)_pred,Gluco-neogenesis(PEP from oxaloacetate)_abs_error,Gluco-neogenesis(PEP from oxaloacetate)_ratio,Gluco-neogenesis(PEP from oxaloacetate)_rel_error,"Gluco-neogenesis(PYR from MAL, upper bound)_true","Gluco-neogenesis(PYR from MAL, upper bound)_pred","Gluco-neogenesis(PYR from MAL, upper bound)_abs_error","Gluco-neogenesis(PYR from MAL, upper bound)_ratio","Gluco-neogenesis(PYR from MAL, upper bound)_rel_error","Gluco-neogenesis(PYR from MAL, lower bound)_true","Gluco-neogenesis(PYR from MAL, lower bound)_pred","Gluco-neogenesis(PYR from MAL, lower bound)_abs_error","Gluco-neogenesis(PYR from MAL, lower bound)_ratio","Gluco-neogenesis(PYR from MAL, lower bound)_rel_error",TCA cycle(Oxaloacetate through TCA cycle)_true,TCA cycle(Oxaloacetate through TCA cycle)_pred,TCA cycle(Oxaloacetate through TCA cycle)_abs_error,TCA cycle(Oxaloacetate through TCA cycle)_ratio,TCA cycle(Oxaloacetate through TCA cycle)_rel_error,cumulative_ratio,cumulative_diff,mean_absolute_error,mean_relative_error,rmse,n_pathways
Cra,Eki2vivo,0.78,0.0,0.78,0.0,1.0,0.07,0.0,0.07,0.0,1.0,0.2,0.016800635124922542,0.18319936487507746,0.08400317562461271,0.9159968243753872,0.02,0.0,0.02,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.24,0.28600245305386574,0.046002453053865744,1.1916768877244406,0.1916768877244406,0.18224000904986476,0.16845740256127759,0.16845740256127759,0.8725248160142611,0.30551554390608227,7
CreB,Eki2vivo,0.78,0.2487762214522066,0.5312237785477935,0.3189438736566751,0.6810561263433249,0.06,0.0,0.06,0.0,1.0,0.19,0.016880111641629218,0.17311988835837078,0.0888426928506801,0.9111573071493199,0.02,0.0,0.02,0.0,1.0,0.06,0.0019007917196067188,0.05809920828039328,0.031679861993445316,0.9683201380065547,0.02,0.0019007917196067188,0.01809920828039328,0.09503958598033593,0.904960414019664,0.32,0.33333333333333337,0.013333333333333364,1.0416666666666667,0.04166666666666676,0.22516752587825759,0.12483934525718343,0.12483934525718343,0.7867372360265044,0.21382572201303604,7
Crl,Eki2vivo,0.74,0.23681057149833556,0.5031894285016645,0.32001428580856156,0.6799857141914385,0.1,0.0,0.1,0.0,1.0,0.23,0.1214026396682323,0.10859736033176771,0.527837563774923,0.472162436225077,0.01,0.0,0.01,0.0,1.0,0.07,0.0,0.07,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.36,0.2506574510168933,0.10934254898310669,0.696270697269148,0.3037293027308519,0.2205889352646618,0.1315899054023627,0.1315899054023627,0.7794110647353382,0.20436269601057774,7
Crp,Eki2vivo,0.74,0.2490051268074135,0.4909948731925865,0.33649341460461285,0.6635065853953872,0.07,0.0,0.07,0.0,1.0,0.27,0.013507244600663609,0.2564927553993364,0.05002683185430966,0.9499731681456903,0.03,0.0,0.03,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.27,0.2516631243245852,0.01833687567541481,0.9320856456466118,0.06791435435338818,0.18837227030079062,0.13226064346676253,0.13226064346676253,0.8116277296992094,0.21233421771324953,7
CsgD,Eki2vivo,0.8,0.23254782328401813,0.5674521767159819,0.29068477910502266,0.7093152208949773,0.04,0.0,0.04,0.0,1.0,0.25,0.1591433867276675,0.09085661327233249,0.63657354691067,0.36342645308932997,0.02,0.0,0.02,0.0,1.0,0.08,0.0,0.08,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.29,0.22573084380178216,0.06426915619821782,0.7783822200061454,0.2216177799938546,0.2436629351459769,0.12608256374093318,0.12608256374093318,0.7563370648540231,0.22141990537485076,7
CspA,Eki2vivo,0.75,0.24870384729181233,0.5012961527081876,0.33160512972241646,0.6683948702775835,0.08,0.0,0.08,0.0,1.0,0.2,0.01796903243864239,0.18203096756135762,0.08984516219321194,0.9101548378067881,0.03,0.0,0.03,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.34,0.2609795130944696,0.07902048690553043,0.7675868032190282,0.23241319678097183,0.16986244216209379,0.13176394388215368,0.13176394388215368,0.8301375578379062,0.20690831068793378,7
CysB,Eki2vivo,0.79,0.23376644719814244,0.5562335528018576,0.29590689518752206,0.7040931048124779,0.08,0.0,0.08,0.0,1.0,0.21,0.1474498166343307,0.06255018336566928,0.7021419839730034,0.2978580160269966,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.3,0.2860782360669723,0.013921763933027687,0.9535941202232411,0.04640587977675896,0.2788061427691095,0.11038650001436494,0.11038650001436494,0.7211938572308905,0.21424355506647857,7
CytR,Eki2vivo,0.76,0.2486508959971669,0.5113491040028331,0.3271722315752196,0.6728277684247803,0.09,0.0,0.09,0.0,1.0,0.19,0.009388165587250278,0.18061183441274972,0.04941139782763304,0.950588602172367,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.0,0.0,0.0,,,0.35,0.2747921596449637,0.0752078403550363,0.7851204561284677,0.2148795438715323,0.1936173475885534,0.1267383969672313,0.1267383969672313,0.8063826524114467,0.20988253862758138,7
DcuR,Eki2vivo,0.76,0.21076047183246796,0.5492395281675321,0.2773164103058789,0.7226835896941212,0.07,0.09729125435204838,0.027291254352048377,1.3898750621721196,0.38987506217211965,0.2,0.06493666984676033,0.13506333015323968,0.32468334923380165,0.6753166507661984,0.04,0.0,0.04,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.28,0.22935760387041243,0.0506423961295876,0.8191342995371872,0.18086570046281283,0.40157273160699825,0.11889092982891539,0.11889092982891539,0.7098201432993217,0.21557750588448646,7
ElbB,Eki2vivo,0.81,0.23473738965523203,0.575262610344768,0.28979924648794075,0.7102007535120592,0.05,0.0,0.05,0.0,1.0,0.23,0.13892983975223733,0.09107016024776268,0.6040427815314666,0.3959572184685334,0.05,0.0,0.05,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.29,0.29690187450790106,0.006901874507901085,1.0237995672686244,0.023799567268624432,0.2739487993268617,0.11331923501434742,0.11331923501434742,0.7328510770356024,0.22183278155917105,7
EvgA,Eki2vivo,0.8,0.23598339650152114,0.5640166034984789,0.2949792456269014,0.7050207543730986,0.05,0.0,0.05,0.0,1.0,0.22,0.12679098451368714,0.09320901548631286,0.5763226568803961,0.4236773431196039,0.03,0.0,0.03,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.26,0.31024195787029685,0.05024195787029684,1.1932382995011417,0.19323829950114169,0.2949343145726342,0.12106679669358411,0.12106679669358411,0.7602766281419778,0.21886946661701903,7
FadR,Eki2vivo,0.76,0.23882755197978314,0.5211724480202169,0.3142467789207673,0.6857532210792328,0.05,0.0,0.05,0.0,1.0,0.2,0.10369179143974178,0.09630820856025823,0.5184589571987088,0.4815410428012912,0.03,0.0,0.03,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.31,0.2575987374419333,0.05240126255806671,0.8309636691675267,0.16903633083247324,0.23766705789814324,0.11284027416264886,0.11284027416264886,0.7623329421018568,0.2028517699240195,7
FecI,Eki2vivo,0.72,0.2343501706487801,0.48564982935121986,0.32548634812330574,0.6745136518766943,0.09,0.0,0.09,0.0,1.0,0.2,0.1427664350082872,0.05723356499171281,0.7138321750414359,0.286167824958564,0.01,0.0,0.01,0.0,1.0,0.12,0.0,0.12,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.3,0.2901018675441524,0.009898132455847586,0.9670062251471747,0.032993774852825286,0.2866178211874167,0.11611164668554005,0.11611164668554005,0.7133821788125834,0.1939916827144339,7
FhlA,Eki2vivo,0.8,0.2506775447684458,0.5493224552315543,0.3133469309605572,0.6866530690394429,0.06,0.0,0.06,0.0,1.0,0.18,0.0,0.18,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.28,0.2920506353335906,0.012050635333590576,1.043037983334252,0.04303798333425205,0.19376927347068704,0.12448187008073498,0.12448187008073498,0.8185272931962421,0.22038938839944375,7
Fis,Eki2vivo,0.79,0.237658083984533,0.552341916015467,0.3008330177019405,0.6991669822980595,0.04,0.03365018016290173,0.006349819837098272,0.8412545040725432,0.1587454959274568,0.2,0.017792276563828962,0.18220772343617106,0.0889613828191448,0.9110386171808552,0.01,0.0,0.01,0.0,1.0,0.09,0.0,0.09,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.25,0.2956535794208278,0.04565357942082782,1.1826143176833113,0.18261431768331127,0.3448090317538485,0.1309361483870806,0.1309361483870806,0.7073664875842406,0.22344888076097494,7
FlgM,Eki2vivo,0.75,0.24490078701755483,0.5050992129824452,0.3265343826900731,0.6734656173099269,0.08,0.01630227277694511,0.06369772722305489,0.20377840971181385,0.7962215902881861,0.21,0.01297176881227039,0.1970282311877296,0.061770327677478046,0.938229672322522,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.35,0.1947253699911552,0.15527463000884478,0.5563581999747291,0.4436418000252708,0.16406304572201344,0.14444282877172496,0.14444282877172496,0.8359369542779864,0.21560974998435659,7
FlhD,Eki2vivo,0.74,0.24877870497392676,0.49122129502607326,0.3361874391539551,0.6638125608460449,0.07,0.0,0.07,0.0,1.0,0.23,0.01684294019070503,0.21315705980929497,0.07323017474219577,0.9267698252578042,0.03,0.0,0.03,0.0,1.0,0.04,0.006050845506077882,0.03394915449392212,0.15127113765194705,0.848728862348053,0.01,0.006050845506077882,0.003949154493922118,0.6050845506077882,0.39491544939221185,0.28,0.3333333333333333,0.05333333333333329,1.1904761904761902,0.1904761904761903,0.33660707037601095,0.12794428530807797,0.12794428530807797,0.717814698331472,0.2058247792211859,7
FliA,Eki2vivo,0.79,0.233134215439599,0.556865784560401,0.2951066018222772,0.7048933981777228,0.07,0.0,0.07,0.0,1.0,0.19,0.15371033207267798,0.03628966792732202,0.8090017477509367,0.19099825224906328,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.33,0.27721196837973544,0.052788031620264575,0.8400362678173801,0.15996373218261992,0.27773494534151344,0.11513478344399826,0.11513478344399826,0.7222650546584866,0.21461028410143432,7
FliZ,Eki2vivo,0.77,0.23421962009109012,0.5357803799089099,0.30418132479362353,0.6958186752063765,0.07,0.0,0.07,0.0,1.0,0.2,0.1440637293718916,0.05593627062810841,0.720318646859458,0.27968135314054204,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.29,0.2884972830363765,0.0015027169636234738,0.9948182173668156,0.005181782633184393,0.28847402700284247,0.10760276678580596,0.10760276678580596,0.7115259729971576,0.20646401970367262,7
Fnr,Eki2vivo,0.75,0.2487394888179255,0.5012605111820745,0.331652651757234,0.668347348242766,0.07,0.0,0.07,0.0,1.0,0.21,0.01743140400098583,0.19256859599901416,0.08300668571898015,0.9169933142810198,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.33,0.32705963329508586,0.0029403667049141546,0.9910897978638965,0.008910202136103499,0.20082130504858725,0.11668135341228614,0.11668135341228614,0.7991786949514127,0.20506215433790018,7
FrvR,Eki2vivo,0.74,0.23319823615108626,0.5068017638489137,0.31513275155552195,0.684867248444478,0.1,0.0,0.1,0.0,1.0,0.2,0.15427986600338162,0.045720133996618395,0.7713993300169081,0.22860066998309198,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.32,0.27782687106049664,0.04217312893950337,0.868208972064052,0.13179102793594802,0.2792487219480689,0.11352786096929078,0.11352786096929078,0.7207512780519313,0.1980320793989798,7
Fur,Eki2vivo,0.81,0.23316036186086048,0.5768396381391396,0.2878522985936549,0.7121477014063452,0.04,0.0,0.04,0.0,1.0,0.17,0.15293395848544095,0.017066041514559066,0.8996115205025937,0.10038847949740626,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.25,0.18204561827310672,0.06795438172689328,0.7281824730924269,0.2718175269075731,0.27366375602695364,0.10883715162579886,0.10883715162579886,0.7263362439730464,0.22073028658049576,7
GadE,Eki2vivo,0.76,0.13184107432975609,0.6281589256702439,0.17347509780231063,0.8265249021976894,0.06,0.19577340440591465,0.13577340440591465,3.262890073431911,2.262890073431911,0.2,0.011738824826928484,0.18826117517307153,0.058694124134642416,0.9413058758653576,0.02,0.04363828927823497,0.023638289278234966,2.1819144639117485,1.1819144639117483,0.05,0.0,0.05,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.31,0.3333333333333333,0.023333333333333317,1.075268817204301,0.07526881720430102,0.9646060823549876,0.15130930398011408,0.15130930398011408,1.0411291618015723,0.25415505292331153,7
GadW,Eki2vivo,0.79,0.24680980875676745,0.5431901912432326,0.3124174794389461,0.687582520561054,0.05,0.007428168637329074,0.042571831362670925,0.14856337274658146,0.8514366272534185,0.22,0.016114798112120018,0.20388520188787998,0.07324908232781827,0.9267509176721818,0.02,0.0,0.02,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.29,0.28045784191702966,0.00954215808297032,0.9670960066104471,0.03290399338955283,0.21447513444625613,0.127027054653822,0.127027054653822,0.7855248655537439,0.22123942202902955,7
GadX,Eki2vivo,0.79,0.2488679659950701,0.5411320340049299,0.3150227417659115,0.6849772582340885,0.04,0.0,0.04,0.0,1.0,0.24,0.007732240160918753,0.23226775983908124,0.03221766733716147,0.9677823326628385,0.03,0.0,0.03,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.3,0.33333333333333337,0.03333333333333338,1.1111111111111114,0.11111111111111127,0.2083359314591692,0.1338190181681921,0.1338190181681921,0.8234101002868627,0.2243668238774838,7
GcvA,Eki2vivo,0.78,0.230916947231654,0.549083052768346,0.29604736824571026,0.7039526317542898,0.08,1.317314104510466e-16,0.07999999999999988,1.6466426306380824e-15,0.9999999999999984,0.23,0.17390305824938382,0.05609694175061619,0.7561002532581905,0.24389974674180953,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.29,0.20746894108206654,0.08253105891793344,0.7154101416622984,0.28458985833770156,0.2525082518808858,0.11967300763384223,0.11967300763384223,0.7474917481191142,0.21379243652173266,7
GlcC,Eki2vivo,0.77,0.2497804065164165,0.5202195934835835,0.32439013833300845,0.6756098616669916,0.06,0.0,0.06,0.0,1.0,0.19,0.007295898177561891,0.18270410182243813,0.038399464092431,0.9616005359075691,0.01,0.0,0.01,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.27,0.31214497988323253,0.042144979883232514,1.1560925180860464,0.15609251808604635,0.2169831600730694,0.12643838216989345,0.12643838216989345,0.8276147022372297,0.2112498228558266,7
HdfR,Eki2vivo,0.77,0.17552604604646058,0.5944739539535394,0.2279559039564423,0.7720440960435576,0.05,0.15337159583379892,0.10337159583379892,3.0674319166759783,2.0674319166759783,0.19,0.007937848610419003,0.182062151389581,0.04177815058115265,0.9582218494188475,0.03,0.0,0.03,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.3,0.3333333333333333,0.033333333333333326,1.1111111111111112,0.11111111111111109,0.889655416464937,0.1347487192157504,0.1347487192157504,0.9817617946498988,0.23881933004861794,7
IHFA,Eki2vivo,0.83,0.2287025432816854,0.6012974567183146,0.2755452328695005,0.7244547671304995,0.07,0.07108926932026698,0.0010892693202669695,1.0155609902895282,0.015560990289528134,0.16,0.020549043854261657,0.13945095614573835,0.12843152408913536,0.8715684759108647,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.45,0.2891595980652212,0.16084040193477883,0.6425768845893803,0.3574231154106196,0.2945878045482206,0.13752544058844268,0.13752544058844268,0.709858192677359,0.24150599579308504,7
IHFB,Eki2vivo,0.81,0.2330686683469057,0.5769313316530944,0.2877390967245749,0.7122609032754251,0.03,0.0,0.03,0.0,1.0,0.15,0.16399499235126394,0.013994992351263946,1.0932999490084263,0.09329994900842631,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.51,0.33032391235720704,0.17967608764279297,0.6476939457984452,0.35230605420155486,0.2898189987902066,0.12294320166387876,0.12294320166387876,0.7368381294979152,0.22916903235215,7
IclR,Eki2vivo,0.79,0.16964445663610395,0.6203555433638961,0.21473981852671384,0.7852601814732861,0.05,0.15588165740675555,0.10588165740675555,3.117633148135111,2.117633148135111,0.2,0.010704755515018472,0.18929524448498153,0.05352377757509236,0.9464762224249076,0.03,0.0,0.03,0.0,1.0,0.03,0.03565034197195327,0.005650341971953271,1.1883447323984424,0.18834473239844238,0.01,0.03565034197195327,0.025650341971953268,3.565034197195327,2.5650341971953265,0.38,0.3333333333333333,0.04666666666666669,0.8771929824561403,0.12280701754385971,1.2880669508981182,0.1462142565523152,0.1462142565523152,1.1036507855958475,0.24947151550187083,7
IdnR,Eki2vivo,0.8,0.21279109889780612,0.5872089011021939,0.26598887362225765,0.7340111263777424,0.04,0.09451495232192207,0.05451495232192207,2.3628738080480516,1.3628738080480518,0.2,0.05966752102700135,0.14033247897299866,0.29833760513500673,0.7016623948649933,0.03,0.0,0.03,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.28,0.2388442275375539,0.041155772462446116,0.8530150983484067,0.14698490165159325,0.5400307693076747,0.1261731578370801,0.1261731578370801,0.8493617472774829,0.23008482157114996,7
LldR,Eki2vivo,0.75,0.22754683562947756,0.5224531643705225,0.3033957808393034,0.6966042191606966,0.11,0.0743893651395069,0.035610634860493096,0.6762669558136991,0.3237330441863009,0.19,0.02074150324416656,0.16925849675583343,0.10916580654824505,0.8908341934517549,0.04,0.0,0.04,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.33,0.2881864312498287,0.04181356875017134,0.8732922159085718,0.1267077840914283,0.2803029655871171,0.11987655210528862,0.11987655210528862,0.719697034412883,0.20932621142663885,7
LrhA,Eki2vivo,0.77,0.2488662814310579,0.5211337185689421,0.3232029628974778,0.6767970371025221,0.06,0.0,0.06,0.0,1.0,0.22,0.00774485556727279,0.21225514443272722,0.03520388894214904,0.964796111057851,0.03,0.0,0.03,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.26,0.3333333333333333,0.0733333333333333,1.282051282051282,0.28205128205128194,0.23435116198441555,0.1352460280478575,0.1352460280478575,0.846234918601665,0.21653451613523056,7
MarA,Eki2vivo,0.79,0.23317244578506424,0.5568275542149358,0.2951549946646383,0.7048450053353618,0.05,0.0,0.05,0.0,1.0,0.19,0.15209913217827145,0.03790086782172855,0.8005217483066919,0.19947825169330816,0.03,0.008031218588524713,0.021968781411475284,0.26770728628415713,0.7322927137158428,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.28,0.3333333333333333,0.05333333333333329,1.1904761904761902,0.1904761904761903,0.3648371742473825,0.11429007668306755,0.11429007668306755,0.6895845944601006,0.2142496783514095,7
