Strain,Method,Glycolysis(Serine through glycolysis)_true,Glycolysis(Serine through glycolysis)_pred,Glycolysis(Serine through glycolysis)_abs_error,Glycolysis(Serine through glycolysis)_ratio,Glycolysis(Serine through glycolysis)_rel_error,ED pathway(PYR through ED) _true,ED pathway(PYR through ED) _pred,ED pathway(PYR through ED) _abs_error,ED pathway(PYR through ED) _ratio,ED pathway(PYR through ED) _rel_error,"PP pathway(PEP through PP pathway, upper bound)  _true","PP pathway(PEP through PP pathway, upper bound)  _pred","PP pathway(PEP through PP pathway, upper bound)  _abs_error","PP pathway(PEP through PP pathway, upper bound)  _ratio","PP pathway(PEP through PP pathway, upper bound)  _rel_error",Gluco-neogenesis(PEP from oxaloacetate)_true,Gluco-neogenesis(PEP from oxaloacetate)_pred,Gluco-neogenesis(PEP from oxaloacetate)_abs_error,Gluco-neogenesis(PEP from oxaloacetate)_ratio,Gluco-neogenesis(PEP from oxaloacetate)_rel_error,"Gluco-neogenesis(PYR from MAL, upper bound)_true","Gluco-neogenesis(PYR from MAL, upper bound)_pred","Gluco-neogenesis(PYR from MAL, upper bound)_abs_error","Gluco-neogenesis(PYR from MAL, upper bound)_ratio","Gluco-neogenesis(PYR from MAL, upper bound)_rel_error","Gluco-neogenesis(PYR from MAL, lower bound)_true","Gluco-neogenesis(PYR from MAL, lower bound)_pred","Gluco-neogenesis(PYR from MAL, lower bound)_abs_error","Gluco-neogenesis(PYR from MAL, lower bound)_ratio","Gluco-neogenesis(PYR from MAL, lower bound)_rel_error",TCA cycle(Oxaloacetate through TCA cycle)_true,TCA cycle(Oxaloacetate through TCA cycle)_pred,TCA cycle(Oxaloacetate through TCA cycle)_abs_error,TCA cycle(Oxaloacetate through TCA cycle)_ratio,TCA cycle(Oxaloacetate through TCA cycle)_rel_error,cumulative_ratio,cumulative_diff,mean_absolute_error,mean_relative_error,rmse,n_pathways
Cra,KinLLM,0.78,0.24366438809301585,0.5363356119069842,0.3123902411448921,0.6876097588551079,0.07,0.0,0.07,0.0,1.0,0.2,0.05999104506654914,0.14000895493345086,0.2999552253327457,0.7000447746672542,0.02,0.0,0.02,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.24,0.27971241549595116,0.03971241549595117,1.1654683978997966,0.16546839789979656,0.25397340919677636,0.12657956890519806,0.12657956890519806,0.7933032759174512,0.21318518844480172,7
CreB,KinLLM,0.78,0.24871352705511054,0.5312864729448895,0.31886349622450066,0.6811365037754994,0.06,0.0,0.06,0.0,1.0,0.19,0.017294465531388803,0.1727055344686112,0.09102350279678317,0.9089764972032168,0.02,0.0,0.02,0.0,1.0,0.06,0.14585618906492354,0.08585618906492354,2.4309364844153922,1.4309364844153925,0.02,0.14585618906492354,0.12585618906492355,7.292809453246177,6.292809453246178,0.32,0.0,0.32,0.0,1.0,1.4476618480975503,0.18795776936333541,0.18795776936333541,1.759122705520041,0.251198152716424,7
Crl,KinLLM,0.74,0.25083456911801927,0.4891654308819807,0.3389656339432693,0.6610343660567307,0.1,0.0,0.1,0.0,1.0,0.23,0.0,0.23,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.07,0.0,0.07,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.36,0.2740569921811592,0.08594300781884079,0.7612694227254423,0.23873057727455776,0.1571764366669588,0.14358691981440308,0.14358691981440308,0.8428235633330411,0.21212160237632674,7
Crp,KinLLM,0.74,0.2490441815479712,0.4909558184520288,0.3365461912810422,0.6634538087189579,0.07,0.0,0.07,0.0,1.0,0.27,0.013146932285874059,0.25685306771412597,0.04869234179953355,0.9513076582004665,0.03,0.0,0.03,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.27,0.2656659473238367,0.004334052676163325,0.9839479530512469,0.016052046948753052,0.19559806944740327,0.13030613412033115,0.13030613412033115,0.8044019305525968,0.21227673921378418,7
CsgD,KinLLM,0.8,0.2273674721694034,0.5726325278305966,0.2842093402117542,0.7157906597882457,0.04,0.0,0.04,0.0,1.0,0.25,0.20432579442219534,0.04567420557780466,0.8173031776887814,0.18269682231121864,0.02,0.0,0.02,0.0,1.0,0.08,0.0,0.08,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.29,0.1714051868082226,0.11859481319177739,0.5910523683042158,0.40894763169578413,0.2417949837435359,0.12812879237145408,0.12812879237145408,0.7582050162564641,0.2245181744793615,7
CspA,KinLLM,0.75,0.24967297328358035,0.5003270267164197,0.33289729771144044,0.6671027022885596,0.08,0.0,0.08,0.0,1.0,0.2,0.009967031541926,0.19003296845807402,0.04983515770963,0.95016484229037,0.03,0.0,0.03,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.34,0.2638961751300818,0.07610382486991824,0.7761652209708287,0.22383477902917126,0.16555681091312846,0.13235197429205886,0.13235197429205886,0.8344431890868715,0.20744412498092502,7
CysB,KinLLM,0.79,0.2181870367858002,0.5718129632141998,0.27618612251367114,0.7238138774863289,0.08,0.0,0.08,0.0,1.0,0.21,0.2812114493485342,0.07121144934853421,1.3391021397549248,0.3391021397549248,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.3,0.3017021131147368,0.0017021131147368362,1.0056737103824562,0.005673710382456121,0.3744231389501503,0.11210378938249585,0.11210378938249585,0.724084246803387,0.22033871088692325,7
CytR,KinLLM,0.76,0.25022483727678735,0.5097751627232127,0.32924320694314124,0.6707567930568588,0.09,6.261961793495862e-17,0.08999999999999993,6.957735326106513e-16,0.9999999999999992,0.19,0.004858750372474824,0.18514124962752518,0.02557237038144644,0.9744276296185536,0.02,0.0,0.02,0.0,1.0,0.01,0.10085527905453036,0.09085527905453036,10.085527905453036,9.085527905453036,0.0,0.10085527905453036,0.10085527905453036,,,0.35,0.0,0.35,0.0,1.0,1.740057247129604,0.19237528149425695,0.19237528149425695,2.2884520546880744,0.25172957936426354,7
DcuR,KinLLM,0.76,0.232285381987923,0.527714618012077,0.305638660510425,0.694361339489575,0.07,1.4834514704560073e-16,0.06999999999999985,2.1192163863657245e-15,0.9999999999999978,0.2,0.16229826020476945,0.03770173979523056,0.8114913010238473,0.1885086989761528,0.04,0.0,0.04,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.28,0.17501575949327172,0.1049842405067283,0.6250562839045418,0.3749437160954582,0.24888374934840232,0.11577151404486223,0.11577151404486223,0.7511162506515977,0.20630276987337745,7
ElbB,KinLLM,0.81,0.21227659977989952,0.5977234002201005,0.2620698762714809,0.7379301237285191,0.05,0.0,0.05,0.0,1.0,0.23,0.3370753927038472,0.10707539270384717,1.4655451856689008,0.4655451856689007,0.05,0.0,0.05,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.29,0.3078098776855593,0.017809877685559306,1.0614133713295149,0.061413371329514854,0.3984326333242709,0.12037266722992958,0.12037266722992958,0.752126954389562,0.2312251823398061,7
EvgA,KinLLM,0.8,0.2488788650827208,0.5511211349172792,0.311098581353401,0.6889014186465989,0.05,0.0,0.05,0.0,1.0,0.22,0.007650706014816898,0.2123492939851831,0.0347759364309859,0.965224063569014,0.03,0.0,0.03,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.26,0.28404745170435053,0.02404745170435052,1.0924901988628866,0.0924901988628866,0.20548067380675336,0.13250255437240185,0.13250255437240185,0.8209450972969285,0.2253267493923273,7
FadR,KinLLM,0.76,0.23788747531159202,0.522112524688408,0.31300983593630527,0.6869901640636947,0.05,0.0,0.05,0.0,1.0,0.2,0.1116656619408889,0.08833433805911112,0.5583283097044445,0.4416716902955556,0.03,0.0,0.03,0.0,1.0,0.03,0.10014894685496546,0.07014894685496546,3.3382982284988487,2.3382982284988487,0.01,0.10014894685496546,0.09014894685496547,10.014894685496547,9.014894685496547,0.31,0.0,0.31,0.0,1.0,2.0320758656623066,0.16582067949392143,0.16582067949392143,2.211693538336378,0.23693041506519674,7
FecI,KinLLM,0.72,0.18570566142455233,0.5342943385754476,0.2579245297563227,0.7420754702436773,0.09,0.22506301505774437,0.13506301505774437,2.500700167308271,1.500700167308271,0.2,0.024531056893169083,0.17546894310683092,0.12265528446584541,0.8773447155341546,0.01,0.0,0.01,0.0,1.0,0.12,0.0,0.12,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.3,0.2594634719722782,0.040536528027721785,0.864878239907594,0.13512176009240595,0.5351654602054333,0.15076611782396357,0.15076611782396357,0.8936060161683583,0.2243227962334107,7
FhlA,KinLLM,0.8,0.22857366081509434,0.5714263391849057,0.2857170760188679,0.7142829239811321,0.06,0.0,0.06,0.0,1.0,0.18,0.19470955520000435,0.01470955520000436,1.0817197511111354,0.08171975111113533,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.28,0.33333333333333337,0.053333333333333344,1.1904761904761905,0.1904761904761905,0.36541614537231343,0.10992417538832051,0.10992417538832051,0.712354123652637,0.21885705594973215,7
Fis,KinLLM,0.79,0.25073468333430937,0.5392653166656907,0.3173856751067207,0.6826143248932793,0.04,0.0,0.04,0.0,1.0,0.2,0.0,0.2,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.09,0.0,0.09,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.25,0.28839343294068004,0.03839343294068004,1.1535737317627202,0.15357373176272016,0.21013705812420586,0.13537982137233867,0.13537982137233867,0.8337411509508571,0.22135334953466793,7
FlgM,KinLLM,0.75,0.21644405748056675,0.5335559425194333,0.28859207664075565,0.7114079233592444,0.08,0.13335047041125903,0.053350470411259024,1.6668808801407378,0.6668808801407378,0.21,0.020008809219546515,0.18999119078045348,0.09528004390260246,0.9047199560973975,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.35,0.0,0.35,0.0,1.0,0.29296471438344224,0.17384251481587798,0.17384251481587798,0.8975726799424828,0.2533841998301839,7
FlhD,KinLLM,0.74,0.18717231541355484,0.5528276845864452,0.2529355613696687,0.7470644386303313,0.07,0.14944050860721866,0.07944050860721866,2.1348644086745523,1.134864408674552,0.23,0.1270897556380907,0.10291024436190932,0.5525641549482204,0.44743584505177963,0.03,0.0,0.03,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.28,0.29098658936868177,0.010986589368681743,1.0392378191738634,0.03923781917386336,0.5685145634523293,0.11802357527489356,0.11802357527489356,0.7669432159329322,0.2155526010690952,7
FliA,KinLLM,0.79,0.2312211310599767,0.5587788689400234,0.2926849760252869,0.7073150239747131,0.07,0.0,0.07,0.0,1.0,0.19,0.17010233530703087,0.019897664692969136,0.895275448984373,0.10472455101562703,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.33,0.2224826793532086,0.10751732064679143,0.6741899374339654,0.3258100625660346,0.2660214803490893,0.12088483632568343,0.12088483632568343,0.7339785196509107,0.2179087999511954,7
FliZ,KinLLM,0.77,0.18645873153607265,0.5835412684639274,0.24215419680009434,0.7578458031999057,0.07,0.22342835033826908,0.15342835033826907,3.1918335762609864,2.1918335762609864,0.2,0.02455098973631013,0.1754490102636899,0.12275494868155064,0.8772450513184494,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.29,0.2606409787519065,0.029359021248093475,0.8987619956962294,0.10123800430377061,0.6365006739198372,0.1473968071877114,0.1473968071877114,0.9897374907261588,0.23874821705218072,7
Fnr,KinLLM,0.75,0.24853281214901127,0.5014671878509888,0.33137708286534834,0.6686229171346517,0.07,2.0105584173979813e-17,0.06999999999999999,2.8722263105685444e-16,0.9999999999999998,0.21,0.01887815107438008,0.1911218489256199,0.08989595749704801,0.910104042502952,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.33,0.2721182823038634,0.05788171769613659,0.8246008554662527,0.17539914453374725,0.1779819851183785,0.12435296492467789,0.12435296492467789,0.8220180148816214,0.20610233064162972,7
FrvR,KinLLM,0.74,0.24968743032637405,0.4903125696736259,0.33741544638699195,0.6625845536130079,0.1,0.0,0.1,0.0,1.0,0.2,0.009672845062796661,0.19032715493720334,0.0483642253139833,0.9516357746860167,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.32,0.2679140974468073,0.05208590255319273,0.8372315545212727,0.1627684454787273,0.17471588946032116,0.13324651816628888,0.13324651816628888,0.8252841105396789,0.20464037554808373,7
Fur,KinLLM,0.81,0.23246848109771517,0.5775315189022849,0.28699812481199405,0.7130018751880061,0.04,0.0,0.04,0.0,1.0,0.17,0.1589988103155289,0.011001189684471113,0.935287119503111,0.06471288049688889,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.25,0.19583521178347363,0.05416478821652637,0.7833408471338945,0.2166591528661055,0.2865180130641428,0.10609964240046892,0.10609964240046892,0.7134819869358572,0.22038845762574874,7
GadE,KinLLM,0.76,0.22789210831796933,0.5321078916820307,0.29985803726048593,0.700141962739514,0.06,6.277066808212268e-17,0.059999999999999935,1.0461778013687115e-15,0.999999999999999,0.2,0.2007757507330502,0.0007757507330501956,1.003878753665251,0.003878753665250978,0.02,0.0,0.02,0.0,1.0,0.05,0.022295410222412347,0.027704589777587656,0.4459082044482469,0.554091795551753,0.01,0.022295410222412347,0.012295410222412347,2.229541022241235,1.2295410222412346,0.31,0.07254716417353459,0.23745283582646542,0.23402311023720834,0.7659768897627917,0.6018870182646326,0.12719092546307803,0.12719092546307803,0.7505186319943633,0.22182424858716018,7
GadW,KinLLM,0.79,0.07845238005787547,0.7115476199421246,0.09930681019984236,0.9006931898001577,0.05,0.29744472501671104,0.24744472501671105,5.94889450033422,4.94889450033422,0.22,0.02214730852417435,0.19785269147582565,0.1006695842007925,0.8993304157992075,0.02,0.0,0.02,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.29,0.30509487426549303,0.015094874265493052,1.0520512905706656,0.0520512905706657,1.0287031693293602,0.18027713010002205,0.18027713010002205,1.4001384852148928,0.2954421505224275,7
GadX,KinLLM,0.79,0.2488014359552618,0.5411985640447382,0.31493852652564785,0.6850614734743521,0.04,0.0,0.04,0.0,1.0,0.24,0.00802434567895068,0.2319756543210493,0.033434773662294505,0.9665652263377055,0.03,0.0,0.03,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.3,0.2900456526979058,0.009954347302094213,0.9668188423263526,0.03318115767364738,0.18788459178775643,0.13044693795255455,0.13044693795255455,0.8121154082122436,0.22402413101907964,7
GcvA,KinLLM,0.78,0.22527848083484345,0.5547215191651566,0.2888185651728762,0.7111814348271237,0.08,1.8543554806832525e-16,0.07999999999999982,2.3179443508540657e-15,0.9999999999999978,0.23,0.1995004588477369,0.03049954115226311,0.8673932993379865,0.13260670066201352,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.29,0.20444312971144718,0.0855568702885528,0.7049763093498179,0.2950236906501821,0.26588402483724044,0.11725399008656748,0.11725399008656748,0.7341159751627595,0.2152958641660255,7
GlcC,KinLLM,0.77,0.24890703094563305,0.521092969054367,0.323255884344978,0.676744115655022,0.06,0.0,0.06,0.0,1.0,0.19,0.007440605846993345,0.18255939415300665,0.03916108340522813,0.9608389165947718,0.01,0.0,0.01,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.27,0.26687035597113246,0.003129644028867562,0.9884087258190091,0.011591274180990969,0.19297509908131644,0.12096885817660587,0.12096885817660587,0.8070249009186835,0.21094197220466504,7
HdfR,KinLLM,0.77,0.0,0.77,0.0,1.0,0.05,0.3873959102152409,0.3373959102152409,7.747918204304818,6.747918204304818,0.19,0.019070804567034284,0.17092919543296572,0.10037265561596992,0.8996273443840301,0.03,0.0,0.03,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.3,0.33333333333333337,0.03333333333333338,1.1111111111111114,0.11111111111111127,1.7918803942063797,0.19166549128307714,0.19166549128307714,1.9517313319599918,0.32468972028086024,7
IHFA,KinLLM,0.83,0.2484115044967063,0.5815884955032937,0.29929096927314014,0.70070903072686,0.07,0.0,0.07,0.0,1.0,0.16,0.00977133265417217,0.15022866734582782,0.06107082908857606,0.9389291709114239,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.45,0.2925813585657507,0.15741864143424933,0.6501807968127793,0.3498192031872207,0.1443632278820708,0.14560511489762445,0.14560511489762445,0.8556367721179293,0.2366113326791105,7
IHFB,KinLLM,0.81,0.0,0.81,0.0,1.0,0.03,0.264729289187527,0.23472928918752697,8.824309639584232,7.824309639584233,0.15,0.011468076154052561,0.13853192384594742,0.07645384102701708,0.9235461589729829,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.51,0.31413340109358784,0.19586659890641217,0.6159478452815448,0.3840521547184552,1.3595301894132563,0.20558968741998382,0.20558968741998382,1.8759868504679529,0.3316953545680361,7
IclR,KinLLM,0.79,0.12300088574587062,0.6669991142541294,0.15569732372895015,0.8443026762710498,0.05,0.26561920237994185,0.21561920237994187,5.312384047598837,4.312384047598837,0.2,0.02170171355553816,0.17829828644446186,0.1085085677776908,0.8914914322223092,0.03,0.0,0.03,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.38,0.3022033559329675,0.07779664406703252,0.7952719892972828,0.20472801070271715,0.9102659897718229,0.1726733210207951,0.1726733210207951,1.3218437381135588,0.2754534069047093,7
IdnR,KinLLM,0.8,0.23339921776284048,0.5666007822371596,0.2917490222035506,0.7082509777964494,0.04,0.0,0.04,0.0,1.0,0.2,0.15268170138187293,0.047318298618127086,0.7634085069093646,0.23659149309063543,0.03,0.0,0.03,0.0,1.0,0.02,0.010773350448674225,0.009226649551325775,0.5386675224337113,0.46133247756628876,0.01,0.010773350448674225,0.0007733504486742253,1.0773350448674226,0.07733504486742253,0.28,0.15631940791768922,0.1236805920823108,0.5582835997060329,0.44171640029396714,0.46134909944572594,0.11679995327679966,0.11679995327679966,0.5607466276592519,0.22076428470415674,7
LldR,KinLLM,0.75,0.24936382566876492,0.5006361743312351,0.33248510089168654,0.6675148991083134,0.11,0.0,0.11,0.0,1.0,0.19,0.005601166040054677,0.18439883395994533,0.029479821263445668,0.9705201787365544,0.04,0.0,0.04,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.33,0.2920794316064033,0.0379205683935967,0.8850891866860706,0.11491081331392938,0.1781505869773147,0.128993653812111,0.128993653812111,0.8218494130226853,0.20711538486074296,7
LrhA,KinLLM,0.77,0.2487804193705861,0.521219580629414,0.3230914537280339,0.6769085462719662,0.06,0.0,0.06,0.0,1.0,0.22,0.00812190166517782,0.21187809833482218,0.03691773484171736,0.9630822651582827,0.03,0.0,0.03,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.26,0.2913919376397087,0.03139193763970871,1.1207382216911874,0.12073822169118735,0.21153534432299123,0.12921280237199215,0.12921280237199215,0.8229612904459194,0.21505734568590174,7
MarA,KinLLM,0.79,0.25069636140839874,0.5393036385916012,0.31733716633974524,0.6826628336602547,0.05,1.3058372411852826e-18,0.05,2.6116744823705652e-17,1.0,0.19,3.6880307754000854e-18,0.19,1.9410688291579397e-17,1.0,0.03,0.0,0.03,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.28,0.3024130806730968,0.022413080673096775,1.0800467166896313,0.08004671668963133,0.19962626900419664,0.13024524560924258,0.13024524560924258,0.8232442214785551,0.21871402097043763,7
