TF,Rule_index,Regulation_type,Target_genes,Target_reactions,TF_category,Base_effect,Evidence,Evidence_modifier,Importance,Importance_modifier,Directness,Direct_modifier,Effect_strength,Notes,Reference
Crp,3,activation,acs,ACS,global,0.15,strong,1.0,central,0.8,direct,1.0,0.12,Crp activates acs expression,Kumari S et al. Regulation of acetyl coenzyme A synthetase in Escherichia coli. J Bacteriol. 2000. PMID: 10894724. | Beatty CM et al. Cyclic AMP receptor protein-dependent activation of the Escherichia coli acsP2 promoter by a synergistic class III mechanism. J Bacteriol. 2003. PMID: 12923087.
ArcA,1,repression,sdhC; sdhD; sdhA; sdhB,SUCDi,global,0.15,strong,1.0,central,0.8,direct,1.0,1.0,ArcA represses SDH under anaerobic conditions,"Iuchi S, Lin EC. Regulation of the citrate synthase (gltA) gene of Escherichia coli in response to anaerobiosis and carbon supply: role of the arcA gene product. J Bacteriol. 1994. PMID: 8051021. | Park SJ et al. Regulation of succinate dehydrogenase (sdhCDAB) operon expression in Escherichia coli in response to carbon supply and anaerobiosis: role of ArcA and Fnr. Mol Microbiol. 1995. PMID: 7783618."
ArcA,2,repression,cyoA; cyoB; cyoC; cyoD; cyoE,CYTBO3_4pp,global,0.15,strong,1.0,energy,0.85,direct,1.0,1.0,ArcA represses cytochrome oxidase under anaerobic conditions,"Iuchi S, Lin EC. Regulation of the citrate synthase (gltA) gene of Escherichia coli in response to anaerobiosis and carbon supply: role of the arcA gene product. J Bacteriol. 1994. PMID: 8051021. | Park SJ et al. Regulation of succinate dehydrogenase (sdhCDAB) operon expression in Escherichia coli in response to carbon supply and anaerobiosis: role of ArcA and Fnr. Mol Microbiol. 1995. PMID: 7783618."
ArcA,3,repression,icd,ICDHyr,global,0.15,moderate,1.2,central,0.8,direct,1.0,1.0,ArcA represses TCA-cycle enzymes,"Iuchi S, Lin EC. Regulation of the citrate synthase (gltA) gene of Escherichia coli in response to anaerobiosis and carbon supply: role of the arcA gene product. J Bacteriol. 1994. PMID: 8051021. | Park SJ et al. Regulation of succinate dehydrogenase (sdhCDAB) operon expression in Escherichia coli in response to carbon supply and anaerobiosis: role of ArcA and Fnr. Mol Microbiol. 1995. PMID: 7783618."
ArcA,4,repression,aceE; aceF; lpdA,PDH,global,0.15,strong,1.0,central,0.8,direct,1.0,1.0,ArcA represses the PDH complex,"Iuchi S, Lin EC. Regulation of the citrate synthase (gltA) gene of Escherichia coli in response to anaerobiosis and carbon supply: role of the arcA gene product. J Bacteriol. 1994. PMID: 8051021. | Park SJ et al. Regulation of succinate dehydrogenase (sdhCDAB) operon expression in Escherichia coli in response to carbon supply and anaerobiosis: role of ArcA and Fnr. Mol Microbiol. 1995. PMID: 7783618."
ArcA,5,repression,gltA,CS,global,0.15,moderate,1.2,central,0.8,direct,1.0,1.0,ArcA represses citrate synthase,"Iuchi S, Lin EC. Regulation of the citrate synthase (gltA) gene of Escherichia coli in response to anaerobiosis and carbon supply: role of the arcA gene product. J Bacteriol. 1994. PMID: 8051021. | Park SJ et al. Regulation of succinate dehydrogenase (sdhCDAB) operon expression in Escherichia coli in response to carbon supply and anaerobiosis: role of ArcA and Fnr. Mol Microbiol. 1995. PMID: 7783618."
ArcB,1,repression,sdhC; sdhD; sdhA; sdhB,SUCDi,global,0.15,moderate,1.2,central,0.8,indirect,1.3,1.0,The ArcB-ArcA system regulates SDH,"Lynch AS, Lin EC. Transcriptional control mediated by the ArcA two-component response regulator protein of Escherichia coli: characterization of DNA binding at target promoters. J Bacteriol. 1996. PMID: 8892825. | Iuchi S, Lin EC. Adaptation of Escherichia coli to respiratory conditions: regulation of gene expression. Cell. 1988."
Fnr,1,repression,ndh,NADH16pp; NADH17pp,global,0.15,strong,1.0,energy,0.85,direct,1.0,1.0,Fnr regulates the respiratory chain,"Park SJ et al. Regulation of succinate dehydrogenase (sdhCDAB) operon expression in Escherichia coli in response to carbon supply and anaerobiosis: role of ArcA and Fnr. Mol Microbiol. 1995. PMID: 7783618. | Green J, Paget MS. Bacterial redox sensors. Nat Rev Microbiol. 2004. PMID: 15197394."
Fnr,2,repression,cyoA; cyoB; cyoC; cyoD,CYTBO3_4pp,global,0.15,strong,1.0,energy,0.85,direct,1.0,1.0,Fnr represses aerobic respiration,"Park SJ et al. Regulation of succinate dehydrogenase (sdhCDAB) operon expression in Escherichia coli in response to carbon supply and anaerobiosis: role of ArcA and Fnr. Mol Microbiol. 1995. PMID: 7783618. | Green J, Paget MS. Bacterial redox sensors. Nat Rev Microbiol. 2004. PMID: 15197394."
Fnr,3,activation,frdA; frdB; frdC; frdD,FRD2; FRD3,global,0.15,strong,1.0,energy,0.85,direct,1.0,0.1275,Fnr activates anaerobic respiratory enzymes,"Park SJ et al. Regulation of succinate dehydrogenase (sdhCDAB) operon expression in Escherichia coli in response to carbon supply and anaerobiosis: role of ArcA and Fnr. Mol Microbiol. 1995. PMID: 7783618. | Green J, Paget MS. Bacterial redox sensors. Nat Rev Microbiol. 2004. PMID: 15197394."
PdhR,1,repression,aceE; aceF; lpdA,PDH,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,PdhR represses expression of the PDH complex,Ogasawara H et al. PdhR (pyruvate dehydrogenase complex regulator) controls the respiratory electron transport system in Escherichia coli. J Bacteriol. 2007. PMID: 17513468. | Quail MA et al. A mutation causing constitutive synthesis of the pyruvate dehydrogenase complex in Escherichia coli is located within the pdhR gene. Mol Microbiol. 1994. PMID: 8262214.
PdhR,2,repression,ndh,NADH16pp,metabolic,0.2,moderate,1.2,energy,0.85,direct,1.0,1.0,PdhR represses NADH dehydrogenase,Ogasawara H et al. PdhR (pyruvate dehydrogenase complex regulator) controls the respiratory electron transport system in Escherichia coli. J Bacteriol. 2007. PMID: 17513468. | Quail MA et al. A mutation causing constitutive synthesis of the pyruvate dehydrogenase complex in Escherichia coli is located within the pdhR gene. Mol Microbiol. 1994. PMID: 8262214.
IclR,1,repression,aceB; aceA; aceK,ICL; MALS,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,IclR represses the glyoxylate shunt,"Yamamoto K, Ishihama A. Two different modes of transcription repression of the Escherichia coli acetate operon by IclR. Mol Microbiol. 2003. PMID: 12492863. | Gui L et al. Glyoxylate and pyruvate are antagonistic effectors of the Escherichia coli IclR transcriptional regulator. J Biol Chem. 2007. PMID: 17426033."
FadR,1,repression,fadD; fadE; fadB; fadA,FACOAL60; FACOAL80; ACOAD1f; ACOAD2f,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,1.0,FadR represses fatty-acid degradation,"Feng Y, Cronan JE. Escherichia coli FadR positively regulates transcription of the fabB fatty acid biosynthetic gene. J Bacteriol. 2001. PMID: 11566998. | My L et al. Reassessment of the genetic regulation of fatty acid synthesis in Escherichia coli: global positive control by the dual functional regulator FadR. J Bacteriol. 2015. PMID: 25802297."
FadR,2,activation,fabA; fabB,3OAS60; 3OAS80; 3OAS100,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,0.22,FadR activates fatty-acid biosynthesis,"Feng Y, Cronan JE. Escherichia coli FadR positively regulates transcription of the fabB fatty acid biosynthetic gene. J Bacteriol. 2001. PMID: 11566998. | My L et al. Reassessment of the genetic regulation of fatty acid synthesis in Escherichia coli: global positive control by the dual functional regulator FadR. J Bacteriol. 2015. PMID: 25802297."
Fur,1,activation,sdhC; sdhD; sdhA; sdhB,SUCDi,stress,0.3,moderate,1.2,central,0.8,indirect,1.3,0.3744,Fur influences expression of iron-containing proteins,"Escolar L et al. The Fur regulon: a tale of metal uptake and oxidative stress. FEMS Microbiol Rev. 1999. PMID: 10545143. | Troxell B, Hassan HM. Transcriptional regulation by Ferric Uptake Regulator (Fur) in pathogenic bacteria. Front Cell Infect Microbiol. 2013. PMID: 24409181."
Fur,2,activation,acnA; acnB,ACONTa; ACONTb,stress,0.3,moderate,1.2,central,0.8,indirect,1.3,0.3744,Fur influences expression of iron-containing proteins,"Escolar L et al. The Fur regulon: a tale of metal uptake and oxidative stress. FEMS Microbiol Rev. 1999. PMID: 10545143. | Troxell B, Hassan HM. Transcriptional regulation by Ferric Uptake Regulator (Fur) in pathogenic bacteria. Front Cell Infect Microbiol. 2013. PMID: 24409181."
NarL,1,activation,narG; narH; narJ; narI,NO3R1pp; NO3R2pp,local,0.4,strong,1.0,energy,0.85,direct,1.0,0.34,NarL activates nitrate respiration,Stewart V. Nitrate regulation of anaerobic respiratory gene expression in Escherichia coli. Mol Microbiol. 1994. PMID: 7968532. | Darwin AJ et al. The NarL receiver domain regulates transcription through promoter-specific functions. J Biol Chem. 2015. PMID: 26307095.
NarL,2,repression,frdA; frdB; frdC; frdD,FRD2; FRD3,local,0.4,strong,1.0,energy,0.85,direct,1.0,1.0,NarL represses fumarate respiration,Stewart V. Nitrate regulation of anaerobic respiratory gene expression in Escherichia coli. Mol Microbiol. 1994. PMID: 7968532. | Darwin AJ et al. The NarL receiver domain regulates transcription through promoter-specific functions. J Biol Chem. 2015. PMID: 26307095.
NarP,1,activation,narG; narH; narJ; narI,NO3R1pp; NO3R2pp,local,0.4,moderate,1.2,energy,0.85,direct,1.0,0.408,NarP activates nitrate respiration,Darwin AJ et al. The NarL receiver domain regulates transcription through promoter-specific functions. J Biol Chem. 2015. PMID: 26307095. | Stewart V. Nitrate regulation of anaerobic respiratory gene expression in Escherichia coli. Mol Microbiol. 1994. PMID: 7968532.
GadE,1,activation,gadA; gadB; gadC,GLUDy,stress,0.3,strong,1.0,amino_acid,0.95,direct,1.0,0.285,GadE activates the acid resistance system,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
GadW,1,activation,gadA; gadB; gadC,GLUDy,stress,0.3,strong,1.0,amino_acid,0.95,direct,1.0,0.285,GadW activates the acid resistance system,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
GadX,1,activation,gadA; gadB; gadC,GLUDy,stress,0.3,strong,1.0,amino_acid,0.95,direct,1.0,0.285,GadX activates the acid resistance system,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
Lrp,1,activation,ilvB; ilvN; ilvH; ilvI,ACLS,global,0.15,strong,1.0,amino_acid,0.95,direct,1.0,0.1425,Lrp activates branched-chain amino-acid synthesis,"Calvo JM, Matthews RG. The leucine-responsive regulatory protein, a global regulator of metabolism in Escherichia coli. Microbiol Rev. 1994. PMID: 7808018."
Lrp,2,activation,gltB; gltD,GLUDy; GLNS,global,0.15,moderate,1.2,amino_acid,0.95,direct,1.0,0.1709999999999999,Lrp activates nitrogen metabolism,"Calvo JM, Matthews RG. The leucine-responsive regulatory protein, a global regulator of metabolism in Escherichia coli. Microbiol Rev. 1994. PMID: 7808018."
SoxS,1,activation,sodA,SPODM,stress,0.3,strong,1.0,peripheral,1.1,direct,1.0,0.33,SoxS activates antioxidant enzymes,"Nunoshiba T et al. Genetic definition of the Escherichia coli zwf soxbox, the DNA binding site for SoxS-mediated induction of glucose 6-phosphate dehydrogenase in response to superoxide. J Bacteriol. 1993. PMID: 7896696. | Wu J, Weiss B. Ambidextrous transcriptional activation by SoxS. Mol Microbiol. 1992. PMID: 8825776."
SoxS,2,activation,zwf,G6PDH2r,stress,0.3,strong,1.0,central,0.8,direct,1.0,0.24,SoxS activates NADPH-producing enzymes,"Nunoshiba T et al. Genetic definition of the Escherichia coli zwf soxbox, the DNA binding site for SoxS-mediated induction of glucose 6-phosphate dehydrogenase in response to superoxide. J Bacteriol. 1993. PMID: 7896696. | Wu J, Weiss B. Ambidextrous transcriptional activation by SoxS. Mol Microbiol. 1992. PMID: 8825776."
SoxR,1,activation,soxS,,stress,0.3,strong,1.0,peripheral,1.1,direct,1.0,0.33,SoxR senses oxidative stress and activates SoxS,"Amábile-Cuevas CF, Demple B. soxR, a locus governing a superoxide response regulon in Escherichia coli K-12. J Bacteriol. 1991. PMID: 1695893. | Wu J, Weiss B. Two-stage induction of the soxRS regulon of Escherichia coli. J Bacteriol. 1991. PMID: 1317841."
OxyR,1,activation,katG; ahpC; ahpF,CAT,stress,0.3,strong,1.0,peripheral,1.1,direct,1.0,0.33,OxyR activates peroxide-detoxifying enzymes,"Seaver LC, Imlay JA. Homeostatic regulation of intracellular hydrogen peroxide concentration in aerobically growing Escherichia coli. J Bacteriol. 2001. PMID: 11133957. | Zheng M et al. DNA microarray-mediated transcriptional profiling of the Escherichia coli response to hydrogen peroxide. J Bacteriol. 2001. PMID: 11591694."
CysB,1,activation,cysE; cysK,SERAT; CYSS,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,0.19,CysB activates cysteine biosynthesis,Kredich NM. Regulation of cysteine biosynthesis in Escherichia coli and Salmonella typhimurium. Microbiol Rev. 1996. PMID: 8987366.
GlpR,1,repression,glpK; glpD; glpF,GLYK; G3PD2,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,1.0,GlpR represses glycerol utilization,Larson TJ et al. glp repressor and the sn-glycerol-3-phosphate regulon of Escherichia coli K-12. J Bacteriol. 1987. PMID: 3301812.
Mlc,1,repression,ptsG; ptsH; ptsI,GLCptspp,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,Mlc represses the PTS system,Kimata K et al. The glucose transporter gene ptsG of Escherichia coli is regulated by Mlc and induced by extracellular glucose. J Bacteriol. 1997. PMID: 9352935. | Plumbridge J. Regulation of gene expression in the PTS in Escherichia coli: the role and interactions of Mlc. Curr Opin Microbiol. 2002. PMID: 12160671.
PurR,1,repression,purA; purB; purC; purD,ADSS; ADSL1r; PRFGS,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,1.0,PurR represses de novo purine biosynthesis,Cho BK et al. The PurR regulon in Escherichia coli K-12 MG1655. Nucleic Acids Res. 2011. PMID: 21321049.
NtrC,1,activation,glnA; glnL; glnG,GLNS,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,0.19,NtrC activates nitrogen metabolism,Reitzer L. Nitrogen regulatory protein C-controlled genes of Escherichia coli: scavenging as a defense against nitrogen limitation. Proc Natl Acad Sci U S A. 2003. PMID: 11121068. | Zimmer DP et al. Nitrogen and carbon status are integrated at the transcriptional level by the nitrogen regulator NtrC in vivo. MBio. 2013. PMID: 24255125.
GcvA,1,activation,gcvT; gcvH; gcvP,GLYCL,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,0.19,GcvA activates the glycine cleavage system,"Stauffer GV. Regulation of serine, glycine, and one-carbon biosynthesis in Escherichia coli. In: EcoSal Plus. 2004. | Jourdan AD, Stauffer GV. Genetic analysis of the gcv operon of Escherichia coli K-12. J Bacteriol. 1998."
RpoN,1,activation,glnA; nifA,GLNS,sigma,0.25,strong,1.0,amino_acid,0.95,direct,1.0,0.2375,RpoN (sigma54) regulates nitrogen metabolism,"Reitzer L, Schneider BL. Metabolic context and possible physiological themes of sigma54-dependent genes in Escherichia coli K-12. Microbiol Mol Biol Rev. 2001. PMID: 11528005."
RpoS,1,activation,katE; osmC; dps,CAT,sigma,0.25,strong,1.0,peripheral,1.1,direct,1.0,0.275,RpoS (sigma38) regulates stationary-phase responses,Hengge-Aronis R. Signal transduction and regulatory mechanisms involved in control of the sigmaS subunit of RNA polymerase. Microbiol Mol Biol Rev. 2002. PMID: 12040128.
ArgR,1,repression,argA; argB; argC; argD,ARGSL; AGPR; ACODA,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,1.0,ArgR represses the arginine biosynthetic operon,"Tian G, Maas WK. DNA binding and transcriptional activation by Escherichia coli arginine repressor. Mol Microbiol. 1994. PMID: 7968535. | Cho BK et al. The transcription unit architecture of the Escherichia coli genome. Nat Biotechnol. 2009. PMID: 19855395."
ArgR,2,repression,argF; argI,OCBT,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,1.0,ArgR represses ornithine carbamoyltransferase genes in the arginine biosynthetic pathway.,"Tian G, Maas WK. DNA binding and transcriptional activation by Escherichia coli arginine repressor. Mol Microbiol. 1994. PMID: 7968535. | Cho BK et al. The transcription unit architecture of the Escherichia coli genome. Nat Biotechnol. 2009. PMID: 19855395."
TrpR,1,repression,trpE; trpD,ANS; ANPRT,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,1.0,TrpR represses tryptophan biosynthesis,"Klig LS et al. trp aporepressor production and regulation in Escherichia coli. J Mol Biol. 1988. PMID: 3050126. | Gunsalus RP, Yanofsky C. Nucleotide sequence and expression of the trp operon regulatory region of Escherichia coli. Proc Natl Acad Sci U S A. 1980."
TyrR,1,repression,aroF; tyrA,DDPA; PPND,metabolic,0.2,moderate,1.2,amino_acid,0.95,direct,1.0,1.0,TyrR mainly represses tyrosine and phenylalanine synthesis,Pittard J et al. TyrR: a pleiotropic transcriptional regulator of aromatic amino acid metabolism in Escherichia coli. Microbiol Mol Biol Rev. 2005. PMID: 16223957.
TyrR,2,activation,mtr,TRPt2rpp,metabolic,0.2,moderate,1.2,peripheral,1.1,direct,1.0,0.264,TyrR can activate aromatic amino-acid transport functions such as mtr depending on effector conditions.,Pittard J et al. TyrR: a pleiotropic transcriptional regulator of aromatic amino acid metabolism in Escherichia coli. Microbiol Mol Biol Rev. 2005. PMID: 16223957.
MetJ,1,repression,metA; metB; metC; metE,HSST; CYSS; HCYS,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,1.0,MetJ represses methionine biosynthesis,"Saint-Girons I et al. The Escherichia coli methionine biosynthetic regulon: identification of the products of the metJ, metR and metF genes. J Bacteriol. 1988. PMID: 2830219."
NagC,1,repression,nagE; nagB; nagA,NAGt2pp; ACGAMPM; ACGAM6P,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,NagC represses N-acetylglucosamine utilization,Plumbridge J. Regulation of the utilization of amino sugars by NagC in Escherichia coli. Microbiology. 1995. PMID: 7730251.
DcuR,1,activation,dctA,SUCCt2_2pp; FUMt2_2pp,local,0.4,strong,1.0,central,0.8,direct,1.0,0.32,DcuR activates C4-dicarboxylate transport under anaerobic conditions,Golby P et al. DcuS-DcuR and DcuR-dependent control of fumarate respiration and C4-dicarboxylate transport in Escherichia coli. J Bacteriol. 1999. PMID: 10074095.
BetI,1,repression,betA; betB,CHOLD; BETALDHx,local,0.4,strong,1.0,peripheral,1.1,direct,1.0,1.0,BetI represses conversion of choline to betaine,Lamark T et al. DNA sequence and analysis of the bet genes encoding the osmoregulatory choline-glycine betaine pathway of Escherichia coli. Mol Microbiol. 1991. PMID: 1666391.
PhoB,1,activation,pstS; pstC; pstA; pstB,PIt2rpp,stress,0.3,strong,1.0,central,0.8,direct,1.0,0.24,PhoB activates high-affinity phosphate transport during phosphate starvation,Wanner BL. Phosphate signaling and control of the Pho regulon. In: Escherichia coli and Salmonella. 1996. | Lamarche MG et al. The phosphate regulon and bacterial virulence: a regulatory network connecting phosphate homeostasis and pathogenesis. FEMS Microbiol Rev. 2008. PMID: 18248499.
FhlA,1,activation,fdhF; hycE,FHL,metabolic,0.2,strong,1.0,energy,0.85,direct,1.0,0.17,FhlA activates hydrogen production from formate,"Schlake T, Bock A. FhlA, a new transcriptional activator for the formate hydrogenlyase system of Escherichia coli. Mol Microbiol. 1994. PMID: 7968540."
AppY,1,activation,hyaA; hyaB,HYD1pp,local,0.4,moderate,1.2,energy,0.85,direct,1.0,0.408,AppY activates anaerobic hydrogenase,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
FecI,1,activation,fecA; fecB,FECR_1; FECR_2,sigma,0.25,strong,1.0,peripheral,1.1,direct,1.0,0.275,FecI activates import of ferric citrate,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
MarA,1,activation,zwf,G6PDH2r,stress,0.3,strong,1.0,central,0.8,direct,1.0,0.24,MarA activates Zwf to provide NADPH for antioxidation/detoxification,"Martin RG, Rosner JL. The AraC transcriptional activators MarA, SoxS and Rob of Escherichia coli and their functional overlap. Mol Microbiol. 2001. PMID: 11251803. | Barbosa TM, Levy SB. Differential expression of over 60 chromosomal genes in Escherichia coli by constitutive expression of MarA. J Bacteriol. 2000. PMID: 10633097."
MarA,2,repression,ompF,OMP_DIFFUSION,stress,0.3,strong,1.0,peripheral,1.1,direct,1.0,1.0,MarA downregulates OmpF to limit antibiotic influx,"Martin RG, Rosner JL. The AraC transcriptional activators MarA, SoxS and Rob of Escherichia coli and their functional overlap. Mol Microbiol. 2001. PMID: 11251803. | Barbosa TM, Levy SB. Differential expression of over 60 chromosomal genes in Escherichia coli by constitutive expression of MarA. J Bacteriol. 2000. PMID: 10633097."
Rob,1,activation,zwf,G6PDH2r,stress,0.3,strong,1.0,central,0.8,direct,1.0,0.24,Rob activates zwf to support NADPH generation during oxidative and chemical stress.,"Martin RG, Rosner JL. The AraC transcriptional activators MarA, SoxS and Rob of Escherichia coli and their functional overlap. Mol Microbiol. 2001. PMID: 11251803. | Rosner JL, Martin RG. Reduction of cellular stress by MarA, SoxS, and Rob. J Bacteriol. 2009. PMID: 19633088."
Rob,2,repression,ompF,OMP_DIFFUSION,stress,0.3,strong,1.0,peripheral,1.1,direct,1.0,1.0,Rob represses or downregulates ompF-associated outer-membrane influx during stress adaptation.,"Martin RG, Rosner JL. The AraC transcriptional activators MarA, SoxS and Rob of Escherichia coli and their functional overlap. Mol Microbiol. 2001. PMID: 11251803. | Rosner JL, Martin RG. Reduction of cellular stress by MarA, SoxS, and Rob. J Bacteriol. 2009. PMID: 19633088."
KdgR,1,repression,eda; edd,EDA; EDD,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,KdgR represses the ED pathway (cooperating/competing with Cra),Nasser W et al. The KdgR protein of Escherichia coli represses genes of pectin and hexuronate degradation. J Bacteriol. 1992. PMID: 1735708.
KdgR,2,repression,kdgK,K2GK,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,1.0,KdgR represses 2-keto-3-deoxygluconate phosphorylation within hexuronate/ED-pathway utilization.,Nasser W et al. The KdgR protein of Escherichia coli represses genes of pectin and hexuronate degradation. J Bacteriol. 1992. PMID: 1735708.
CytR,1,repression,udp,URIDK2r,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,1.0,CytR represses nucleoside degradation,"Pedersen H, Valentin-Hansen P. Protein-induced fit: the CRP-CytR interplay of transcription control in Escherichia coli. Mol Microbiol. 1997. PMID: 9044284."
CytR,2,repression,cdd,CYTD,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,1.0,CytR represses cytidine deaminase in nucleoside catabolism.,"Pedersen H, Valentin-Hansen P. Protein-induced fit: the CRP-CytR interplay of transcription control in Escherichia coli. Mol Microbiol. 1997. PMID: 9044284."
