organisms.gene	proteome
511145.b1749	234
511145.b3617	231
511145.b2951	231
511145.b0419	231
511145.b4407	230
511145.b0679	230
511145.b3945	229
511145.b0570	229
511145.b1517	229
511145.b0699	228
511145.b3939	227
511145.b2511	227
511145.b2533	227
511145.b2827	226
511145.b3599	226
511145.b2426	225
511145.b1035	224
511145.b2241	222
511145.b0594	222
511145.b3190	222
511145.b2595	221
511145.b0451	221
511145.b2104	221
511145.b2684	219
511145.b2751	218
511145.b2564	217
511145.b0389	216
511145.b3922	215
511145.b2041	215
511145.b0593	214
511145.b3291	213
511145.b0287	213
511145.b3959	212
511145.b2947	212
511145.b1983	211
511145.b0345	210
511145.b2957	210
511145.b3780	209
511145.b0721	209
511145.b0344	208
511145.b3923	208
511145.b1128	208
511145.b1955	207
511145.b0179	207
511145.b0910	206
511145.b2026	206
511145.b2752	206
511145.b3566	206
511145.b4179	205
511145.b4355	205
511145.b2284	205
511145.b3845	205
511145.b0557	204
511145.b2741	203
511145.b3390	203
511145.b2303	203
511145.b1723	202
511145.b1033	201
511145.b0387	201
511145.b1334	201
511145.b3701	200
511145.b2909	200
511145.b4254	200
511145.b3511	199
511145.b1876	198
511145.b0864	198
511145.b2285	198
511145.b1830	197
511145.b1928	196
511145.b0573	196
511145.b3661	196
511145.b4406	196
511145.b1256	195
511145.b3687	195
511145.b0411	195
511145.b0369	194
511145.b2524	194
511145.b2431	194
511145.b3150	193
511145.b3409	193
511145.b4322	193
511145.b0687	192
511145.b2910	191
511145.b0918	190
511145.b1623	190
511145.b0528	189
511145.b1738	189
511145.b2016	188
511145.b2300	187
511145.b0393	185
511145.b3288	185
511145.b3500	185
511145.b0596	185
511145.b1792	184
511145.b4024	184
511145.b1646	184
511145.b2515	183
511145.b2958	183
511145.b0990	182
511145.b3028	182
511145.b0830	182
511145.b1896	181
511145.b0003	181
511145.b3932	181
511145.b1279	181
511145.b1430	180
511145.b1682	180
511145.b0212	180
511145.b1725	179
511145.b2025	179
511145.b3417	179
511145.b0773	178
511145.b0923	178
511145.b0641	176
511145.b4554	176
511145.b0077	176
511145.b2790	175
511145.b1586	175
511145.b3388	175
511145.b3003	175
511145.b3279	175
511145.b3743	173
511145.b1286	173
511145.b2023	173
511145.b3356	172
511145.b3803	171
511145.b2576	171
511145.b3389	171
511145.b2107	171
511145.b4382	171
511145.b4558	170
511145.b0908	169
511145.b2312	169
511145.b2601	169
511145.b2954	168
511145.b0870	168
511145.b0927	168
511145.b3697	167
511145.b3865	167
511145.b4035	166
511145.b0196	166
511145.b0586	165
511145.b3526	165
511145.b3807	164
511145.b0121	164
511145.b3960	164
511145.b2843	164
511145.b3200	164
511145.b2762	162
511145.b0529	162
511145.b2187	162
511145.b3102	161
511145.b0381	161
511145.b3228	161
511145.b1832	161
511145.b3670	160
511145.b2916	159
511145.b3993	159
511145.b1583	159
511145.b1018	158
511145.b3439	158
511145.b2676	157
511145.b2834	157
511145.b0109	157
511145.b3068	157
511145.b2169	157
511145.b3616	156
511145.b3463	156
511145.b0094	156
511145.b3189	155
511145.b3816	155
511145.b0827	155
511145.b1678	155
511145.b2532	154
511145.b3191	154
511145.b4396	153
511145.b0825	153
511145.b3055	153
511145.b1087	152
511145.b0068	152
511145.b1199	152
511145.b3961	151
511145.b2679	151
511145.b4162	151
511145.b1748	151
511145.b2988	150
511145.b0851	149
511145.b3461	149
511145.b3592	149
511145.b2288	149
511145.b0480	149
511145.b1105	148
511145.b0628	148
511145.b1680	147
511145.b1274	147
511145.b2183	147
511145.b1070	145
511145.b2319	145
511145.b4013	144
511145.b2232	144
511145.b0242	144
511145.b0805	143
511145.b0356	143
511145.b2113	143
511145.b4375	142
511145.b0686	142
511145.b4021	142
511145.b4303	141
511145.b0481	140
511145.b3705	140
511145.b3385	140
511145.b0431	140
511145.b1478	140
511145.b2799	139
511145.b1704	139
511145.b1564	139
511145.b2304	137
511145.b0956	137
511145.b2571	137
511145.b3639	136
511145.b4565	136
511145.b2421	135
511145.b3910	135
511145.b0610	135
511145.b3153	135
511145.b2242	134
511145.b0677	134
511145.b2567	133
511145.b1187	133
511145.b0931	133
511145.b0820	133
511145.b3114	133
511145.b0424	132
511145.b0675	132
511145.b1867	132
511145.b0357	131
511145.b3607	131
511145.b0651	130
511145.b3428	130
511145.b0131	130
511145.b2299	130
511145.b3725	130
511145.b2329	129
511145.b0785	129
511145.b1272	129
511145.b0189	129
511145.b3608	128
511145.b2960	128
511145.b1661	128
511145.b4041	128
511145.b3957	127
511145.b4537	127
511145.b2471	127
511145.b4068	126
511145.b3087	126
511145.b4064	125
511145.b1536	125
511145.b1727	125
511145.b3730	125
511145.b2168	124
511145.b1189	124
511145.b4208	124
511145.b0452	124
511145.b3648	123
511145.b4122	123
511145.b1056	122
511145.b1305	122
511145.b0207	122
511145.b1133	122
511145.b3408	122
511145.b3885	122
511145.b1782	121
511145.b0394	121
511145.b0408	121
511145.b1275	121
511145.b3041	120
511145.b3686	120
511145.b2065	120
511145.b3193	119
511145.b0085	119
511145.b0443	119
511145.b3244	119
511145.b3407	119
511145.b1760	119
511145.b2412	118
511145.b1861	118
511145.b3924	118
511145.b1329	116
511145.b3724	116
511145.b0849	115
511145.b0902	115
511145.b1179	115
511145.b4233	114
511145.b0484	114
511145.b1917	114
511145.b1976	113
511145.b2009	113
511145.b2149	112
511145.b1487	112
511145.b1088	112
511145.b0783	112
511145.b4111	112
511145.b3259	111
511145.b1737	111
511145.b4036	110
511145.b1946	110
511145.b1829	110
511145.b0571	110
511145.b2872	110
511145.b1217	110
511145.b2688	110
511145.b1059	109
511145.b2040	109
511145.b4305	109
511145.b0658	109
511145.b0334	109
511145.b1953	108
511145.b0199	108
511145.b0082	108
511145.b2897	107
511145.b3887	107
511145.b0413	107
511145.b1846	106
511145.b0637	106
511145.b3440	106
511145.b2994	106
511145.b3161	105
511145.b2948	105
511145.b1117	104
511145.b2167	104
511145.b1557	104
511145.b2418	104
511145.b0150	103
511145.b3089	103
511145.b3706	103
511145.b3844	103
511145.b3997	103
511145.b2568	101
511145.b3455	101
511145.b1209	101
511145.b4222	101
511145.b3125	100
511145.b4138	99.8
511145.b3527	99.7
511145.b1537	99.2
511145.b3282	98.7
511145.b1045	98.6
511145.b1581	98.6
511145.b0659	98.1
511145.b4487	98.1
511145.b1729	97.4
511145.b2253	97.3
511145.b1423	97.3
511145.b1281	97.1
511145.b3170	96.4
511145.b4168	96.3
511145.b4067	96.1
511145.b1083	95.9
511145.b2024	95.7
511145.b2186	94.8
511145.b4213	94.7
511145.b3197	94.6
511145.b2450	94.2
511145.b0390	94.1
511145.b1912	93.8
511145.b0924	93.4
511145.b0054	93.4
511145.b0048	93.1
511145.b2742	93.1
511145.b0120	92.6
511145.b0112	92.4
511145.b4395	92.3
511145.b4113	92.2
511145.b0804	92.2
511145.b0123	92.1
511145.b4263	91.9
511145.b0592	90.5
511145.b1186	90.5
511145.b3070	90.4
511145.b3802	89.6
511145.b1693	89.5
511145.b4137	89.4
511145.b3605	89.2
511145.b3037	89.1
511145.b2290	88.6
511145.b4173	88.4
511145.b0456	86.8
511145.b0029	86.4
511145.b3438	86.4
511145.b2833	86.1
511145.b0091	86.1
511145.b2620	86.1
511145.b1461	85.7
511145.b4180	85.7
511145.b2573	85.1
511145.b1462	85.0
511145.b3198	84.4
511145.b4397	84.4
511145.b3994	84.1
511145.b4161	83.7
511145.b1982	83.6
511145.b3552	83.5
511145.b2594	83.1
511145.b2034	82.8
511145.b1126	82.8
511145.b2392	82.6
511145.b3843	82.5
511145.b3454	82.1
511145.b0581	82.1
511145.b3162	81.8
511145.b4055	81.8
511145.b0331	81.5
511145.b1885	81.4
511145.b1252	81.3
511145.b2240	81.2
511145.b2746	81.0
511145.b0006	80.3
511145.b0506	78.9
511145.b3894	78.9
511145.b2279	78.8
511145.b0088	78.7
511145.b0772	78.3
511145.b3146	78.2
511145.b1768	77.9
511145.b1703	77.9
511145.b2795	77.9
511145.b1277	77.8
511145.b0268	77.4
511145.b0124	77.1
511145.b1377	76.5
511145.b3838	76.3
511145.b3432	75.9
511145.b2804	75.8
511145.b0102	75.6
511145.b1848	75.5
511145.b1204	75.5
511145.b3147	75.4
511145.b0009	75.3
511145.b2081	75.3
511145.b3447	75.2
511145.b2700	75.2
511145.b0904	75.0
511145.b1269	74.9
511145.b0462	74.6
511145.b1593	74.4
511145.b3205	74.2
511145.b4046	74.1
511145.b0779	74.1
511145.b3034	74.0
511145.b0080	73.9
511145.b0922	73.7
511145.b0221	73.0
511145.b3541	72.9
511145.b1079	72.9
511145.b2494	72.6
511145.b3999	72.2
511145.b1684	72.0
511145.b0030	71.9
511145.b2243	71.9
511145.b3891	71.5
511145.b2527	71.3
511145.b0961	71.3
511145.b4392	71.0
511145.b2587	71.0
511145.b0522	70.7
511145.b0711	70.6
511145.b3528	70.5
511145.b4043	70.4
511145.b4360	70.3
511145.b4206	70.3
511145.b1839	70.0
511145.b3487	69.9
511145.b0388	69.8
511145.b1724	69.6
511145.b1687	69.5
511145.b1498	69.4
511145.b3868	69.4
511145.b3225	69.0
511145.b3518	69.0
511145.b4354	68.5
511145.b2526	68.4
511145.b4314	68.4
511145.b0712	68.1
511145.b0409	68.1
511145.b1247	67.7
511145.b2500	67.6
511145.b0127	67.5
511145.b0051	67.4
511145.b4511	67.4
511145.b1787	67.3
511145.b4110	67.2
511145.b3071	67.1
511145.b3888	67.1
511145.b2137	67.1
511145.b0384	67.0
511145.b0784	67.0
511145.b0778	66.9
511145.b1043	66.9
511145.b0737	66.9
511145.b3771	66.8
511145.b3940	66.8
511145.b4269	66.3
511145.b0182	66.1
511145.b1767	65.8
511145.b4019	65.7
511145.b2818	65.6
511145.b0333	65.5
511145.b4058	65.3
511145.b3738	65.3
511145.b0515	65.0
511145.b1180	64.7
511145.b2293	64.6
511145.b3809	64.6
511145.b1284	64.6
511145.b2038	64.4
511145.b0661	64.3
511145.b1422	63.8
511145.b2675	63.4
511145.b1014	63.0
511145.b0485	62.7
511145.b3155	62.5
511145.b1624	62.5
511145.b4371	62.4
511145.b1244	62.4
511145.b1686	62.0
511145.b0421	61.7
511145.b3927	61.6
511145.b2154	61.3
511145.b1584	61.2
511145.b2344	61.2
511145.b3348	61.1
511145.b0092	60.9
511145.b3727	60.5
511145.b1198	60.5
511145.b0572	60.5
511145.b0947	60.1
511145.b3543	59.5
511145.b0420	59.5
511145.b1814	59.5
511145.b2066	59.4
511145.b3099	59.3
511145.b0241	59.1
511145.b0494	59.0
511145.b0086	59.0
511145.b0414	58.9
511145.b1246	58.9
511145.b0968	58.9
511145.b0354	58.8
511145.b3752	58.7
511145.b1400	58.7
511145.b0423	58.5
511145.b1307	58.5
511145.b3195	58.5
511145.b2473	58.4
511145.b0174	58.0
511145.b3540	58.0
511145.b3400	57.9
511145.b2325	57.8
511145.b0761	57.7
511145.b0574	57.6
511145.b4323	57.5
511145.b1245	57.5
511145.b3361	57.4
511145.b1981	56.8
511145.b3481	56.5
511145.b1914	56.5
511145.b2439	56.1
511145.b0187	56.1
511145.b1038	56.1
511145.b3493	55.8
511145.b3450	55.4
511145.b1924	55.4
511145.b0597	55.3
511145.b1120	55.3
511145.b0662	55.2
511145.b4127	54.3
511145.b2566	54.3
511145.b2301	54.2
511145.b1347	54.2
511145.b2132	54.2
511145.b2369	54.0
511145.b2501	53.9
511145.b3418	53.8
511145.b2668	53.7
511145.b3179	53.6
511145.b3054	53.5
511145.b2079	53.4
511145.b1132	53.4
511145.b3202	53.4
511145.b0489	53.1
511145.b2794	53.1
511145.b4295	53.0
511145.b4090	52.8
511145.b0444	52.7
511145.b3958	52.6
511145.b1194	52.4
511145.b2517	52.0
511145.b3210	51.8
511145.b2255	51.7
511145.b1034	51.6
511145.b1441	51.6
511145.b0676	51.4
511145.b3893	51.3
511145.b3992	51.3
511145.b2528	51.3
511145.b1870	51.1
511145.b2379	51.1
511145.b2678	51.0
511145.b3839	51.0
511145.b1124	50.6
511145.b1625	50.6
511145.b1325	50.5
511145.b1114	49.5
511145.b0633	49.3
511145.b3634	49.3
511145.b1834	49.1
511145.b1675	49.1
511145.b4194	49.1
511145.b1922	48.9
511145.b3097	48.9
511145.b2315	48.8
511145.b1636	48.8
511145.b0059	48.5
511145.b2811	48.4
511145.b4152	48.4
511145.b3038	48.4
511145.b0273	48.2
511145.b2306	48.2
511145.b4192	48.1
511145.b2209	47.6
511145.b3019	47.5
511145.b3072	47.4
511145.b0739	47.3
511145.b2895	47.3
511145.b0835	47.2
511145.b4149	47.0
511145.b2125	46.9
511145.b3677	46.5
511145.b0090	46.4
511145.b2593	46.2
511145.b1521	46.1
511145.b0967	45.9
511145.b3470	45.8
511145.b1945	45.7
511145.b0417	45.7
511145.b1049	45.5
511145.b1990	45.5
511145.b3247	45.5
511145.b0652	45.4
511145.b3513	45.3
511145.b1102	45.2
511145.b0119	45.2
511145.b1608	45.2
511145.b0914	45.2
511145.b2475	45.1
511145.b3289	45.0
511145.b3187	44.9
511145.b2411	44.7
511145.b0406	44.3
511145.b0887	44.0
511145.b2584	43.9
511145.b0055	43.5
511145.b1681	43.2
511145.b1063	43.0
511145.b3850	42.9
511145.b4328	42.8
511145.b3281	42.8
511145.b2193	42.7
511145.b0608	42.5
511145.b1082	42.5
511145.b3813	42.3
511145.b0200	42.3
511145.b4119	42.2
511145.b3812	42.2
511145.b0962	42.1
511145.b3572	42.1
511145.b2249	42.0
511145.b3820	41.9
511145.b3221	41.9
511145.b2252	41.9
511145.b4049	41.8
511145.b2032	41.8
511145.b3449	41.8
511145.b0738	41.8
511145.b3755	41.7
511145.b4480	41.7
511145.b0096	41.6
511145.b0579	41.6
511145.b0810	41.6
511145.b1224	41.6
511145.b1421	41.5
511145.b3963	41.4
511145.b1805	41.3
511145.b3523	41.3
511145.b1295	41.3
511145.b1270	41.3
511145.b2784	41.2
511145.b4056	41.2
511145.b0239	41.2
511145.b2259	41.2
511145.b3786	41.1
511145.b2105	41.0
511145.b0149	41.0
511145.b2552	40.9
511145.b3972	40.7
511145.b1323	40.7
511145.b1939	40.6
511145.b1225	40.4
511145.b1356	40.3
511145.b3991	40.3
511145.b2393	40.2
511145.b0458	40.1
511145.b3117	40.0
511145.b1176	40.0
511145.b0493	40.0
511145.b1098	39.9
511145.b1897	39.8
511145.b3785	39.6
511145.b2870	39.6
511145.b2936	39.5
511145.b0611	39.5
511145.b3826	39.4
511145.b1427	39.3
511145.b4390	39.3
